risk, asset, month, cash, trust, financing, currency-fund, fund, p2p, assurance
1,0-30,0-3,20%,0%,50%,25%,5%,0%,0%
1,0-30,3-6,20%,0%,50%,25%,5%,0%,0%
1,0-30,6-12,20%,0%,50%,25%,5%,0%,0%
1,0-30,12-2400,20%,0%,30%,15%,5%,0%,30%
1,30-50,0-3,20%,0%,40%,35%,5%,0%,0%
1,30-50,3-6,20%,0%,40%,35%,5%,0%,0%
1,30-50,6-12,20%,0%,40%,35%,5%,0%,0%
1,30-50,12-2400,20%,0%,30%,15%,5%,0%,30%
1,50-100,0-3,20%,0%,40%,35%,5%,0%,0%
1,50-100,3-6,20%,0%,40%,35%,5%,0%,0%
1,50-100,6-12,20%,0%,40%,35%,5%,0%,0%
1,50-100,12-2400,20%,0%,30%,15%,5%,0%,30%
1,100-200,0-3,20%,0%,40%,35%,5%,0%,0%
1,100-200,3-6,20%,0%,40%,35%,5%,0%,0%
1,100-200,6-12,20%,0%,40%,35%,5%,0%,0%
1,100-200,12-2400,20%,0%,30%,15%,5%,0%,30%
1,200-300,0-3,20%,0%,40%,35%,5%,0%,0%
1,200-300,3-6,20%,0%,40%,35%,5%,0%,0%
1,200-300,6-12,20%,0%,40%,35%,5%,0%,0%
1,200-300,12-2400,20%,0%,30%,15%,5%,0%,30%
1,300-10000000,0-3,20%,0%,35%,35%,10%,0%,0%
1,300-10000000,3-6,20%,0%,35%,35%,10%,0%,0%
1,300-10000000,6-12,20%,0%,35%,35%,10%,0%,0%
1,300-10000000,12-2400,20%,0%,25%,15%,10%,0%,30%
2,0-30,0-3,15%,0%,35%,35%,15%,0%,0%
2,0-30,3-6,15%,0%,35%,35%,15%,0%,0%
2,0-30,6-12,15%,0%,35%,35%,15%,0%,0%
2,0-30,12-2400,15%,0%,30%,20%,10%,0%,25%
2,30-50,0-3,15%,0%,35%,35%,15%,0%,0%
2,30-50,3-6,15%,0%,35%,35%,15%,0%,0%
2,30-50,6-12,15%,0%,35%,35%,15%,0%,0%
2,30-50,12-2400,15%,0%,30%,20%,10%,0%,25%
2,50-100,0-3,15%,0%,35%,35%,15%,0%,0%
2,50-100,3-6,15%,0%,35%,35%,15%,0%,0%
2,50-100,6-12,15%,0%,35%,35%,15%,0%,0%
2,50-100,12-2400,15%,0%,30%,20%,10%,0%,25%
2,100-200,0-3,15%,5%,35%,35%,10%,0%,0%
2,100-200,3-6,15%,5%,35%,35%,10%,0%,0%
2,100-200,6-12,15%,5%,35%,35%,10%,0%,0%
2,100-200,12-2400,15%,0%,30%,20%,10%,0%,25%
2,200-300,0-3,15%,5%,35%,35%,10%,0%,0%
2,200-300,3-6,15%,5%,35%,35%,10%,0%,0%
2,200-300,6-12,15%,5%,35%,35%,10%,0%,0%
2,200-300,12-2400,15%,0%,30%,20%,10%,0%,25%
2,300-10000000,0-3,15%,5%,35%,35%,10%,0%,0%
2,300-10000000,3-6,15%,5%,35%,35%,10%,0%,0%
2,300-10000000,6-12,15%,5%,35%,35%,10%,0%,0%
2,300-10000000,12-2400,15%,0%,30%,20%,10%,0%,25%
3,0-30,0-3,10%,0%,25%,35%,30%,0%,0%
3,0-30,3-6,10%,0%,25%,35%,30%,0%,0%
3,0-30,6-12,10%,0%,25%,35%,30%,0%,0%
3,0-30,12-2400,10%,0%,25%,25%,20%,0%,20%
3,30-50,0-3,10%,0%,25%,35%,30%,0%,0%
3,30-50,3-6,10%,0%,25%,35%,30%,0%,0%
3,30-50,6-12,10%,0%,25%,35%,30%,0%,0%
3,30-50,12-2400,10%,0%,25%,25%,20%,0%,20%
3,50-100,0-3,10%,0%,25%,35%,30%,0%,0%
